ITEM;IDTIPOFT2;IDFAMILIA;ESTADOFT_DETEC;TEXTOESTADOFT_DETEC;STATUSFT;TEXTOSTATUSFT;IDCLIENTE;REFERENCIA;CODIGOREFERENCIA;TIPOABNT;EXIGELAUDO;GRAMATURA;COLUNAMINIMO;COBBINTMAXIMO;COMPRESSAO;COMPOSICAO;LARGURA;REFILOLARGURA;COMPRIMENTO;REFILOCOMPRIMENTO;MULTLARG;MULTCOMP;ARRANJO;REFUGOCLIENTE;VINCOLARG1;VINCOLARG2;VINCOLARG3;VINCOCOMP1;VINCOCOMP2;VINCOCOMP3;VINCOCOMP4;VINCOCOMP5;LAP;PROLONGLAP;LAPNOCOMP;LAPINTERNO;REFILADO;RESINAINTERNA;AMARRADO;PALETIZADO;PACOTESLARGURA;PACOTESCOMPRIMENTO;PACOTESALTURA;PECASPORPACOTE;PECASPORPALETE;PACOTESPORPALETE;UNIDADESPORPALETE;ESPELHO;FILME;FACA;COR1;CONSUMOCOR1;COR2;CONSUMOCOR2;COR3;CONSUMOCOR3;COR4;CONSUMOCOR4;NRCORES;LARGURAINTERNA;COMPRIMENTOINTERNO;ALTURAINTERNA;LARGPECA;COMPPECA;COMPPACOTE;LARGPACOTE;ALTURAPACOTE;COMMPALETEFECHADO;LARGPALETEFECHADO;ALTURAPALETEFECHADO;PESOCAIXA;PATHFIGURADOLASTRO;IDPALETE;AREABRUTAPECACOMREFILOS;AREABRUTAPECA;AREALIQUIDAPECA;AREABRUTACHAPA;AREALIQUIDACHAPA;VOLUMEPALETEFECHADOM3;VOLUMEPACOTEFECHADOM3
379730;;52.0;3;Suspenso;3;Suspensa (Vendas) Suspensa (DETEC);5774;Pouch Catchup;;CN;0;;;;;K2-B;342;0;935;0;1;1;1;2.0;86.0;170.0;86.0;30.0;171.0;283.0;171.0;280.0;30;0;0;1;1;0;1;0;3.0;4.0;10.0;25.0;3000.0;120.0;3000.0;1;0;;VERMELHO 485;;AZUL 10;;;;;;2;168.0;280.0;164.0;342.0;935.0;;;;;;;;;47.0;0.31977;0.31977;0.3133746;0.31977;0.31977;;
291090;;55.0;4;Desativada;4;Desativada (Faca) Desativada (DETEC);6219;Arquivo Morto ;;35;0;;;;;B1-B;875;10;684;10;1;1;1;0.0;;;;;;;;;0;0;-1;-1;1;0;1;0;2.0;2.0;10.0;50.0;2000.0;40.0;2000.0;1;0;0105;PRETO;;;;;;;;1;125.0;340.0;240.0;865.0;674.0;;;;;;;;;47.0;0.5985;0.58301;0.58301;0.5985;0.58301;;
546650;;63.0;3;Suspenso;3;Suspensa (Vendas) Suspensa (DETEC);5736;CHAPA - 999 x 640 Vincada;;108;0;;;;;K1G-B;640;0;999;0;1;1;1;0.0;92.0;456.0;92.0;;;;;;0;0;-1;-1;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;;;;;;;;;;0;640.0;999.0;0.0;640.0;999.0;;;;999.0;640.0;3.0;;;37.0;0.63936;0.63936;0.63936;0.63936;0.63936;0.001918;
777630;;31.0;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);1423;EM0120 - Talco;;CN;1;367.0;4.5;40.0;;K1G-B;340;0;819;0;1;1;1;3.296703296703297;87.0;166.0;87.0;30.0;173.0;223.0;173.0;220.0;30;0;0;1;1;0;1;1;2.0;2.0;8.0;25.0;800.0;32.0;800.0;1;1;;;;;;;;;;0;170.0;220.0;160.0;340.0;819.0;396.0;340.0;142.0;1.0;1.0;1.0;98.0;22.bmp;21.0;0.27846;0.27846;0.26927999999999996;0.27846;0.27846;0.0;0.019119
807501;;2.0;2;Ativa;4;Desativada (Faca) Desativada (Clichê) Suspensa (Vendas) Ativa (DETEC);9758;750060-CPO-0453-FDO-MA-C-04-V70;750060;19;1;634.0;9.0;30.0;;A15-C;723;15;2068;10;1;3;3;3.09;;;;;;;;;0;0;-1;-1;1;0;1;1;1.0;2.0;15.0;25.0;750.0;30.0;750.0;1;2;7835-1;;;;;;;PRETO;50.0;1;380.0;470.0;160.0;708.0;686.0;708.0;686.0;100.0;1372.0;820.0;1650.0;298.0;21.bmp;11.0;0.498388;0.48568799999999995;0.4706802407999999;1.495164;1.457064;1.856316;0.048569
422540;;37.0;4;Desativada;4;Desativada (Faca) Desativada (DETEC);6971;20 Kg Tomates (200 mm);;57;0;;;;;A12S-BC;834;20;1164;20;1;1;1;0.0;;;;;;;;;0;0;-1;-1;1;0;1;0;1.0;2.0;14.0;15.0;420.0;28.0;420.0;0;0;3663;AZUL 276;;VERDE 357;;VERMELHO 485;;;;3;369.0;565.0;200.0;814.0;1144.0;;;;;;;;;47.0;0.970776;0.931216;0.931216;0.970776;0.931216;;
502540;;19.0;1;Desenvolvimento;3;Suspensa (Vendas) Desenvolvimento (DETEC);6431;Caixa Normal;;CN;0;;;;;K1G-B;810;0;2039;0;1;1;1;2.0;202.0;406.0;202.0;30.0;403.0;603.0;403.0;600.0;30;0;0;1;1;0;1;1;1.0;1.0;8.0;25.0;200.0;8.0;200.0;1;1;;;;;;;;;;0;400.0;600.0;400.0;810.0;2039.0;;;;1006.0;850.0;1290.0;;;15.0;1.65159;1.65159;1.6185581999999998;1.65159;1.65159;1.103079;
583070;;;3;Suspenso;3;Suspensa (Vendas) Suspensa (DETEC);9935;CHAPA - 1730 x 610 A4S-B ;;CH;0;;;;;A4S-B;610;0;1730;0;1;1;1;0.0;;;;;;;;;0;0;-1;-1;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;;;;;;;;;;0;610.0;1730.0;0.0;610.0;1730.0;1350.0;1650.0;3.0;1730.0;610.0;3.0;;;37.0;1.0553;1.0553;1.0553;1.0553;1.0553;0.003166;0.006683
652170;;2.0;3;Suspenso;4;Desativada (Clichê) Suspensa (Vendas) Suspensa (DETEC);9757;341808-CPO-0300-MA-V01;341808;18;1;367.0;4.5;30.0;;K1-C;578;15;1524;10;1;2;2;1.17;;;;;;;;;0;0;-1;-1;1;0;1;1;2.0;2.0;17.0;25.0;1700.0;68.0;1700.0;1;1;3067;;;;;VERMELHO 485;194.0;PRETO;83.0;2;377.0;579.0;85.0;563.0;757.0;757.0;563.0;102.0;1520.0;1140.0;1884.0;154.0;22.bmp;37.0;0.440436;0.426191;0.42120456529999994;0.880872;0.852382;3.264595;0.043471
240790;;;4;Desativada;4;Desativada (DETEC);1900;2000 Master Nova;;CN;0;;;;;K2-B;329;0;1289;0;1;1;1;2.0;99.0;131.0;99.0;30.0;198.0;433.0;198.0;430.0;30;0;0;1;1;0;1;1;3.0;2.0;8.0;25.0;1200.0;48.0;1200.0;1;1;;CINZA 11U;;VERDE 317;;;;;;2;195.0;430.0;125.0;329.0;1289.0;;;;1262.0;1000.0;1290.0;;;24.0;0.424081;0.424081;0.41559937999999996;0.424081;0.424081;1.62798;
